ParticipantID,TrialNum,Vis,TruePercent,ReportedPercent
P08,1,donut,52,55
P08,2,donut,78,65
P08,3,stacked,46,45
P08,4,bar,65,68
P08,5,bar,39,40
P08,6,donut,86,85
P08,7,stacked,31,20
P08,8,stacked,72,75
P08,9,bar,94,95
P08,10,donut,23,25
P08,11,donut,67,70
P08,12,bar,48,35
P08,13,stacked,88,90
P08,14,bar,58,60
P08,15,donut,41,40
P08,16,stacked,100,100
P08,17,bar,35,35
P08,18,donut,62,60
P08,19,stacked,54,50
P08,20,bar,76,78
P08,21,donut,44,42
P08,22,donut,81,70
P08,23,stacked,38,40
P08,24,bar,69,55
P08,25,donut,29,28
P08,26,bar,84,85
P08,27,stacked,63,65
P08,28,donut,51,50
P08,29,bar,22,15
P08,30,stacked,91,90
P08,31,donut,68,70
P08,32,stacked,42,40
P08,33,bar,57,60
P08,34,donut,75,78
P08,35,bar,47,48
P08,36,stacked,79,80
P08,37,donut,36,35
P08,38,bar,61,45
P08,39,stacked,34,35
P08,40,donut,87,90
P08,41,bar,52,50
P08,42,stacked,66,65
P08,43,donut,59,60
P08,44,bar,98,100
P08,45,stacked,20,18
P08,46,donut,73,75
P08,47,bar,45,45
P08,48,donut,82,85
P08,49,stacked,53,55
P08,50,bar,27,30
P08,51,donut,64,65
P08,52,stacked,77,60
P08,53,bar,39,40
P08,54,donut,56,58
P08,55,stacked,99,100
P08,56,bar,70,72
P08,57,donut,47,45
P08,58,stacked,85,85
P08,59,bar,32,35
P08,60,donut,60,62
