ParticipantID,TrialNum,Vis,TruePercent,ReportedPercent
P10,1,bar,78,80
P10,2,donut,73,50
P10,3,bar,42,40
P10,4,stacked,73,70
P10,5,bar,72,80
P10,6,donut,21,10
P10,7,donut,41,30
P10,8,donut,18,10
P10,9,bar,68,60
P10,10,donut,96,90
P10,11,stacked,53,40
P10,12,bar,60,60
P10,13,stacked,48,50
P10,14,bar,47,50
P10,15,stacked,79,70
P10,16,bar,72,70
P10,17,donut,29,20
P10,18,stacked,87,90
P10,19,stacked,90,100
P10,20,stacked,48,30
P10,21,stacked,41,30
P10,22,donut,44,40
P10,23,stacked,87,90
P10,24,stacked,11,5
P10,25,donut,29,30
P10,26,stacked,46,30
P10,27,bar,78,80
P10,28,stacked,48,40
P10,29,donut,22,20
P10,30,stacked,42,20
P10,31,bar,99,99
P10,32,bar,39,30
P10,33,stacked,64,40
P10,34,bar,35,20
P10,35,bar,44,40
P10,36,donut,40,20
P10,37,bar,15,10
P10,38,stacked,43,20
P10,39,donut,67,60
P10,40,bar,27,40
P10,41,donut,28,10
P10,42,stacked,30,30
P10,43,bar,90,90
P10,44,stacked,97,100
P10,45,donut,91,100
P10,46,bar,44,40
P10,47,bar,73,80
P10,48,donut,21,20
P10,49,donut,36,25
P10,50,stacked,38,30
P10,51,donut,93,90
P10,52,bar,90,85
P10,53,donut,97,90
P10,54,donut,96,90
P10,55,donut,59,50
P10,56,stacked,58,50
P10,57,bar,98,99
P10,58,donut,21,20
P10,59,stacked,41,30
P10,60,bar,51,50
