ParticipantID,TrialNum,Vis,TruePercent,ReportedPercent,Error
P01,1,stacked,16,10,2.6147098441152083
P01,2,bar,85,90,2.357552004618084
P01,3,donut,26,15,3.4757334309663976
P01,4,donut,52,25,4.7615512324444795
P01,5,bar,67,70,1.6438561897747246
P01,6,donut,36,15,4.400879436282184
P01,7,donut,97,95,1.0874628412503393
P01,8,donut,57,60,1.6438561897747246
P01,9,donut,87,100,3.7142455176661224
P01,10,bar,64,60,2.0443941193584534
P01,11,donut,58,35,4.531381460516312
P01,12,bar,62,60,1.0874628412503393
P01,13,stacked,100,100,0.0
P01,14,stacked,72,50,4.467605550082998
P01,15,bar,52,55,1.6438561897747246
P01,16,bar,18,10,3.0223678130284544
P01,17,stacked,52,40,3.599912842187128
P01,18,donut,59,65,2.6147098441152083
P01,19,stacked,96,70,4.7073591320808825
P01,20,stacked,40,20,4.330916878114617
P01,21,bar,76,70,2.6147098441152083
P01,22,bar,51,45,2.6147098441152083
P01,23,bar,94,80,3.820178962415188
P01,24,donut,58,40,4.1799090900149345
P01,25,stacked,43,20,4.531381460516312
P01,26,stacked,67,50,4.098032082960526
P01,27,stacked,20,5,3.9188632372745946
P01,28,stacked,11,5,2.6147098441152083
P01,29,bar,43,28,3.9188632372745946
P01,30,stacked,44,30,3.820178962415188
P01,31,bar,64,65,0.16992500144231237
P01,32,bar,15,20,2.357552004618084
P01,33,bar,100,90,3.3398500028846247
P01,34,donut,91,55,5.174925682500679
P01,35,donut,82,90,3.0223678130284544
P01,36,bar,48,40,3.0223678130284544
P01,37,stacked,47,30,4.098032082960526
P01,38,donut,56,50,2.6147098441152083
P01,39,donut,93,90,1.6438561897747246
P01,40,donut,81,80,0.16992500144231237
P01,41,stacked,25,20,2.357552004618084
P01,42,stacked,69,70,0.16992500144231237
P01,43,donut,41,20,4.400879436282184
P01,44,donut,17,10,2.8328900141647417
P01,45,stacked,26,15,3.4757334309663976
P01,46,bar,34,20,3.820178962415188
P01,47,bar,90,95,2.357552004618084
P01,48,donut,37,20,4.098032082960526
P01,49,stacked,26,15,3.4757334309663976
P01,50,bar,64,65,0.16992500144231237
P01,51,stacked,37,20,4.098032082960526
P01,52,donut,74,60,3.820178962415188
P01,53,bar,38,40,1.0874628412503393
P01,54,stacked,29,20,3.189824558880017
P01,55,bar,39,30,3.189824558880017
P01,56,stacked,36,20,4.011227255423254
P01,57,donut,83,80,1.6438561897747246
P01,58,bar,63,80,4.098032082960526
P01,59,stacked,41,30,3.4757334309663976
P01,60,donut,21,10,3.4757334309663976
P02,1,donut,78,80,1.0874628412503393
P02,2,stacked,71,70,0.16992500144231237
P02,3,stacked,46,55,3.189824558880017
P02,4,donut,86,90,2.0443941193584534
P02,5,stacked,98,95,1.6438561897747246
P02,6,stacked,35,35,0.0
P02,7,bar,20,20,0.0
P02,8,donut,86,90,2.0443941193584534
P02,9,donut,72,75,1.6438561897747246
P02,10,donut,49,40,3.189824558880017
P02,11,bar,62,60,1.0874628412503393
P02,12,donut,78,50,4.813781191217037
P02,13,donut,61,65,2.0443941193584534
P02,14,stacked,24,25,0.16992500144231237
P02,15,stacked,100,95,2.357552004618084
P02,16,bar,16,15,0.16992500144231237
P02,17,bar,68,70,1.0874628412503393
P02,18,donut,61,40,4.400879436282184
P02,19,stacked,30,20,3.3398500028846247
P02,20,bar,44,45,0.16992500144231237
P02,21,bar,61,70,3.189824558880017
P02,22,bar,45,45,0.0
P02,23,bar,73,75,1.0874628412503393
P02,24,bar,97,95,1.0874628412503393
P02,25,stacked,69,65,2.0443941193584534
P02,26,stacked,42,40,1.0874628412503393
P02,27,stacked,32,35,1.6438561897747246
P02,28,donut,36,35,0.16992500144231237
P02,29,donut,48,33,3.9188632372745946
P02,30,stacked,82,90,3.0223678130284544
P02,31,bar,98,97,0.16992500144231237
P02,32,bar,35,40,2.357552004618084
P02,33,bar,27,33,2.6147098441152083
P02,34,stacked,19,20,0.16992500144231237
P02,35,donut,42,30,3.599912842187128
P02,36,bar,93,90,1.6438561897747246
P02,37,donut,32,25,2.8328900141647417
P02,38,stacked,47,40,2.8328900141647417
P02,39,donut,42,40,1.0874628412503393
P02,40,stacked,26,30,2.0443941193584534
P02,41,stacked,44,40,2.0443941193584534
P02,42,donut,68,75,2.8328900141647417
P02,43,stacked,94,100,2.6147098441152083
P02,44,donut,46,45,0.16992500144231237
P02,45,donut,57,35,4.467605550082998
P02,46,bar,63,70,2.8328900141647417
P02,47,donut,29,25,2.0443941193584534
P02,48,donut,46,50,2.0443941193584534
P02,49,bar,66,70,2.0443941193584534
P02,50,stacked,72,80,3.0223678130284544
P02,51,bar,43,40,1.6438561897747246
P02,52,bar,70,66,2.0443941193584534
P02,53,bar,14,15,0.16992500144231237
P02,54,donut,99,95,2.0443941193584534
P02,55,stacked,87,85,1.0874628412503393
P02,56,bar,38,40,1.0874628412503393
P02,57,stacked,22,25,1.6438561897747246
P02,58,bar,43,45,1.0874628412503393
P02,59,donut,86,90,2.0443941193584534
P02,60,stacked,62,70,3.0223678130284544
P03,1,bar,12,10,1.0874628412503393
P03,2,stacked,32,25,2.8328900141647417
P03,3,stacked,39,33,2.6147098441152083
P03,4,donut,83,70,3.7142455176661224
P03,5,bar,42,33,3.189824558880017
P03,6,stacked,29,20,3.189824558880017
P03,7,bar,81,80,0.16992500144231237
P03,8,donut,36,20,4.011227255423254
P03,9,donut,75,70,2.357552004618084
P03,10,donut,77,70,2.8328900141647417
P03,11,bar,97,95,1.0874628412503393
P03,12,bar,66,60,2.6147098441152083
P03,13,bar,34,30,2.0443941193584534
P03,14,bar,93,95,1.0874628412503393
P03,15,donut,50,40,3.3398500028846247
P03,16,stacked,43,40,1.6438561897747246
P03,17,bar,75,80,2.357552004618084
P03,18,donut,91,100,3.189824558880017
P03,19,donut,32,20,3.599912842187128
P03,20,stacked,21,15,2.6147098441152083
P03,21,donut,60,55,2.357552004618084
P03,22,stacked,41,33,3.0223678130284544
P03,23,bar,30,30,0.0
P03,24,donut,13,10,1.6438561897747246
P03,25,stacked,95,99,2.0443941193584534
P03,26,bar,43,45,1.0874628412503393
P03,27,stacked,40,30,3.3398500028846247
P03,28,bar,32,25,2.8328900141647417
P03,29,stacked,33,25,3.0223678130284544
P03,30,bar,92,90,1.0874628412503393
P03,31,stacked,64,40,4.592457037268081
P03,32,stacked,40,30,3.3398500028846247
P03,33,bar,91,90,0.16992500144231237
P03,34,donut,41,25,4.011227255423254
P03,35,donut,43,33,3.3398500028846247
P03,36,bar,89,90,0.16992500144231237
P03,37,bar,82,80,1.0874628412503393
P03,38,stacked,40,33,2.8328900141647417
P03,39,stacked,55,33,4.467605550082998
P03,40,stacked,49,33,4.011227255423254
P03,41,donut,16,15,0.16992500144231237
P03,42,stacked,40,25,3.9188632372745946
P03,43,donut,54,50,2.0443941193584534
P03,44,donut,40,33,2.8328900141647417
P03,45,bar,65,60,2.357552004618084
P03,46,stacked,63,55,3.0223678130284544
P03,47,donut,39,30,3.189824558880017
P03,48,stacked,75,60,3.9188632372745946
P03,49,bar,65,40,4.651051691178929
P03,50,stacked,47,45,1.0874628412503393
P03,51,donut,20,15,2.357552004618084
P03,52,bar,15,17,1.0874628412503393
P03,53,bar,62,65,1.6438561897747246
P03,54,donut,21,20,0.16992500144231237
P03,55,stacked,18,15,1.6438561897747246
P03,56,donut,26,35,3.189824558880017
P03,57,stacked,72,75,1.6438561897747246
P03,58,donut,37,35,1.0874628412503393
P03,59,bar,35,30,2.357552004618084
P03,60,donut,79,85,2.6147098441152083
P04,1,donut,100,90,3.3398500028846247
P04,2,donut,42,40,1.0874628412503393
P04,3,stacked,66,50,4.011227255423254
P04,4,donut,92,95,1.6438561897747246
P04,5,donut,52,50,1.0874628412503393
P04,6,bar,56,60,2.0443941193584534
P04,7,bar,36,40,2.0443941193584534
P04,8,bar,76,80,2.0443941193584534
P04,9,bar,88,90,1.0874628412503393
P04,10,stacked,39,30,3.189824558880017
P04,11,stacked,51,40,3.4757334309663976
P04,12,donut,80,65,3.9188632372745946
P04,13,donut,95,90,2.357552004618084
P04,14,stacked,80,75,2.357552004618084
P04,15,bar,27,25,1.0874628412503393
P04,16,stacked,79,90,3.4757334309663976
P04,17,stacked,44,40,2.0443941193584534
P04,18,stacked,58,60,1.0874628412503393
P04,19,bar,63,70,2.8328900141647417
P04,20,stacked,85,80,2.357552004618084
P04,21,bar,63,70,2.8328900141647417
